"TOTAL_SESSIONS","TOTAL_USAGE","X209_SESSION_COUNT","X209_USAGE","X210_SESSION_COUNT","X210_USAGE","CONTRACT_KEY","LOCAL_USAGE","ROAMING_SESSIONS_COUNT","WEEK_DAY_SESSIONS","WEEK_END_CONSUMPTION","WEEK_END_SESSIONS","WEEK_DAY_CONSUMPTION","TARGET"
13,3,8,1,7,1,142407394,0,0,7,0,0,0,0
1161,3977,388,1321,368,831,142407483,0,0,0,0,0,0,0
322,3558,63,376,80,430,142407488,0,0,0,0,0,0,0
529,1593,113,174,155,526,142407492,509,12,91,94,64,380,0
1768,3419,212,590,264,955,142407497,0,0,0,0,0,0,1
715,3729,135,890,190,1025,142407533,1024,0,184,23,6,941,0
266,1785,183,1820,16,61,142407535,0,0,0,0,0,0,0
311,2668,72,885,45,285,142407537,0,0,0,0,0,0,0
196,286,29,68,49,11,142407540,0,0,0,0,0,0,0
978,31897,414,11681,375,11619,142407542,0,0,0,0,0,0,0
196,51967,80,35368,67,27243,142407550,0,0,0,0,0,0,1
1037,4413,289,1368,325,1034,142407560,0,0,0,0,0,0,0
3527,7356,895,2108,537,888,142407563,0,0,0,0,0,0,0
25,312,3,1,13,1,142407568,0,0,0,0,0,0,0
143,760,44,251,72,251,142407589,0,0,0,0,0,0,1
427,2037,45,297,67,43,142407595,42,0,67,0,0,38,0
8355,100270,3584,38041,3671,46199,142407604,46198,0,2577,12340,1094,33675,1
8036,18622,3342,11235,3444,10754,142407607,10753,0,2600,2674,844,7969,1
1698,6312,377,1021,623,2004,142407634,2002,1,527,630,96,1290,1
809,3477,258,1089,92,1629,142407641,0,0,0,0,0,0,0
8335,9171,3018,3643,2697,3132,142407642,3131,0,1824,1137,873,1916,1
812,12449,250,2740,208,2770,142407643,0,0,0,0,0,0,0
472,419,100,531,39,250,142407664,0,0,0,0,0,0,0
595,534,148,196,268,308,142407671,0,0,0,0,0,0,0
422,545,49,239,116,257,142407675,0,0,0,0,0,0,0
5378,14846,2141,4330,1183,3149,142407680,3148,0,979,1042,204,2069,1
2424,12440,552,3423,640,4381,142407699,4380,0,462,1993,178,2337,0
1883,14477,454,4866,389,4789,142407723,0,0,0,0,0,0,0
53,5,14,1,497,159,142407736,0,0,0,0,0,0,0
1311,430,253,301,94,501,142407804,0,0,0,0,0,0,0
226,768,60,178,29,51,142407815,0,0,0,0,0,0,0
875,970,247,530,125,699,142407817,0,0,0,0,0,0,0
434,2909,91,899,67,236,142407835,0,0,0,0,0,0,0
1851,4095,897,3497,615,3054,142407836,0,0,0,0,0,0,0
620,3642,129,982,60,152,142407914,0,0,0,0,0,0,0
995,2222,725,1699,407,511,142407971,0,0,0,0,0,0,1
555,3538,171,1030,53,193,142407992,0,0,0,0,0,0,0
5338,1520,793,286,1914,338,142407997,337,0,1482,45,432,184,0
473,2354,196,867,255,1080,142408021,0,0,0,0,0,0,0
1266,10245,473,3857,512,4190,142408031,0,0,0,0,0,0,1
990,2125,497,969,462,1161,142408040,0,0,0,0,0,0,0
618,109,296,57,264,45,142408056,0,0,0,0,0,0,0
316,736,74,220,6,22,142408058,0,0,0,0,0,0,0
9883,5893,2629,967,3006,1606,142408066,1605,0,2151,551,855,999,1
2486,55,2,1,2,1,142408113,0,0,0,0,0,0,0
108,112,10,39,35,79,142408125,0,0,0,0,0,0,0
4225,415,2336,228,1338,131,142408134,0,0,0,0,0,0,0
1191,7111,292,2309,160,2453,142408171,0,0,0,0,0,0,0
7629,746,2912,284,2840,278,142408187,0,0,0,0,0,0,0
936,16020,240,3498,188,5466,142408204,0,0,0,0,0,0,0
5823,570,1365,134,1256,123,142408227,0,0,0,0,0,0,0
6988,683,2747,269,2192,214,142408228,0,0,0,0,0,0,0
5180,14822,2032,4397,2207,2716,142408249,2671,109,1597,639,610,1985,0
4811,471,1381,135,2629,257,142408254,0,0,0,0,0,0,0
9492,928,3088,302,2872,281,142408256,0,0,0,0,0,0,0
9367,916,3354,328,3104,304,142408257,0,0,0,0,0,0,0
84,2661,26,408,12,117,142408329,116,0,12,0,0,113,1
1190,3762,446,1092,263,617,142408346,0,0,0,0,0,0,0
22,4,84,251,23,9,142408347,0,0,0,0,0,0,0
40,99,5,11,19,11,142408363,0,0,0,0,0,0,0
264,1122,11,139,55,286,142408375,0,0,0,0,0,0,0
11388,2025,5623,611,5039,655,142408414,654,0,3655,133,1384,486,0
1068,350,188,79,113,50,142408423,0,0,0,0,0,0,0
444,16691,156,3311,215,5699,142408455,0,0,0,0,0,0,0
164,652,129,650,47,102,142408460,0,0,0,0,0,0,0
680,9340,276,3680,322,4557,142408487,0,0,0,0,0,0,0
1051,742,15,250,1720,269,142408579,0,0,0,0,0,0,0
1979,8121,738,2752,1139,2657,142408588,2656,0,906,648,233,1949,0
259,816,95,187,158,296,142408591,0,0,0,0,0,0,0
814,1830,160,676,183,2024,142408594,0,0,0,0,0,0,0
1170,9291,335,3913,378,4063,142408621,0,0,0,0,0,0,1
13723,7140,3848,2855,4928,2014,142408635,2013,0,3523,757,1405,1201,0
1945,16424,352,8619,140,1270,142408649,1269,0,126,30,14,1229,0
963,2377,262,655,464,686,142408715,0,0,0,0,0,0,0
5426,31172,1540,9897,1874,13224,142408726,13223,0,1403,5638,471,7331,1
358,473,71,620,601,166,142408730,165,0,420,29,181,106,0
970,4719,270,1853,330,1685,142408777,0,0,0,0,0,0,0
1806,2649,94,2186,122,1094,142408780,1093,0,73,479,49,599,0
367,597,87,136,30,59,142408809,0,0,0,0,0,0,0
756,1725,175,660,65,252,142408854,251,0,59,13,6,221,0
206,2237,62,721,8,25,142408862,0,0,0,0,0,0,0
4442,6299,1537,3115,1774,2076,142408881,2075,0,1302,619,472,1386,0
897,4011,189,717,162,575,142408887,574,0,114,276,48,250,0
7970,27860,3262,7585,3787,9247,142409032,9246,0,2682,2193,1105,6948,1
616,10340,131,3218,100,898,142409054,0,0,0,0,0,0,0
7262,4303,3203,1411,2891,2493,142409055,2492,0,2187,546,704,1835,0
480,11299,59,1028,95,1611,142409064,0,0,0,0,0,0,1
379,803,286,515,43,247,142409116,0,0,0,0,0,0,0
115,38,97,42,39,91,142409132,0,0,0,0,0,0,0
1852,32,432,52,509,7,142409147,0,0,0,0,0,0,0
2142,1486,344,301,676,232,142409152,0,0,0,0,0,0,0
2951,7389,966,2185,959,2328,142409169,0,0,0,0,0,0,0
90,15,21,3,5,1,142409177,0,0,0,0,0,0,0
761,3910,106,317,35,252,142409178,0,0,0,0,0,0,0
7079,461,3821,103,2668,101,142409179,100,0,2127,14,541,46,0
600,6070,131,3932,57,1327,142409224,1326,0,41,576,16,735,0
3293,23543,1157,9260,1621,12952,142409226,0,0,0,0,0,0,0
859,2993,376,625,402,902,142409284,901,0,293,367,109,488,0
2390,4996,603,1985,624,1870,142409286,1869,0,427,359,197,1408,0
1700,10990,318,2554,625,2635,142409310,2634,0,531,607,94,1865,0
7540,3755,815,280,3226,1281,142409344,0,0,0,0,0,0,0
1585,10446,247,1532,477,2442,142409345,0,0,0,0,0,0,0
1933,15395,1037,10659,709,4203,142409353,4202,0,317,1398,392,2763,1
272,1092,95,564,190,622,142409356,0,0,0,0,0,0,0
597,5485,185,2386,165,1987,142409382,0,0,0,0,0,0,0
84,210,94,157,50,252,142409391,0,0,0,0,0,0,0
547,285,523,553,490,409,142414003,0,0,0,0,0,0,0
296,259,52,53,49,117,142449443,0,0,0,0,0,0,0
1235,3385,370,1450,677,1143,142449446,0,0,0,0,0,0,0
1373,8645,297,1604,431,2720,142449455,2719,0,327,949,104,1654,0
1092,1320,286,234,385,337,142449469,0,0,0,0,0,0,0
915,3599,220,1167,189,1267,142449471,0,0,0,0,0,0,0
836,11020,360,5921,421,7151,142449485,7150,0,280,3605,141,3462,0
270,2053,210,835,201,133,142449489,0,0,0,0,0,0,0
829,3083,187,337,321,713,142449494,712,0,243,263,78,421,0
187,2183,113,1491,137,859,142449560,0,0,0,0,0,0,0
1396,1766,586,438,557,600,142449586,0,0,0,0,0,0,0
932,639,12,849,13,2,142449639,0,0,0,0,0,0,0
4538,1484,2350,883,2340,575,142449645,574,0,1739,178,601,340,0
1939,15881,200,9235,200,4288,142449651,0,0,0,0,0,0,0
304,1277,51,545,55,652,142449652,0,0,0,0,0,0,0
287,7568,221,3332,72,2223,142449654,0,0,0,0,0,0,1
5767,17010,2373,5591,2075,7282,142449657,7281,0,1527,2251,548,4982,0
1040,33007,216,13022,225,11219,142449660,0,0,0,0,0,0,1
8931,31109,3183,17727,3430,10734,142449731,10736,0,2478,4020,953,6647,0
77,1371,26,230,19,43,142449770,0,0,0,0,0,0,0
720,129,132,21,500,358,142449780,0,0,0,0,0,0,0
2171,3581,744,1427,616,1185,142449791,0,0,0,0,0,0,0
754,7826,277,367,305,2940,142449829,0,0,0,0,0,0,1
768,3989,282,1453,602,2242,142449849,0,0,0,0,0,0,1
10025,1411,4213,771,3934,538,142449853,0,0,0,0,0,0,0
1139,1552,193,398,180,564,142449893,0,0,0,0,0,0,0
370,762,63,128,87,247,142449895,0,0,0,0,0,0,0
46,2381,27,3624,33,2693,142449955,0,0,0,0,0,0,1
105,6987,25,285,17,671,142449956,0,0,0,0,0,0,0
480,8861,165,3268,76,1443,142449982,0,0,0,0,0,0,1
3357,10922,957,1392,768,1659,142450006,1658,0,545,221,223,1284,0
1174,2174,568,1740,545,2756,142450009,2755,0,362,2224,183,445,0
7652,903,2929,560,2651,529,142450033,528,0,1843,205,808,240,1
2761,6831,535,3000,385,1502,142450065,0,0,0,0,0,0,1
7866,1639,1855,838,2070,809,142450120,808,0,1478,239,592,505,1
324,416,81,101,50,258,142450157,254,1,40,35,10,204,0
7710,9312,2758,3739,3155,3735,142450180,3734,0,2249,369,906,3301,0
566,1978,168,1392,197,1410,142450192,0,0,0,0,0,0,1
2663,4092,1620,4592,1597,1913,142450201,1912,1,1139,457,458,1371,0
4057,4737,765,1047,799,1156,142450214,1155,0,577,406,222,658,0
4420,4749,1434,2268,2290,2437,142450223,2436,0,1731,532,559,1851,0
8986,48265,2782,15654,2942,13357,142450300,13356,0,2207,5769,735,7523,1
2543,1399,918,163,785,128,142450306,0,0,0,0,0,0,0
6378,3865,2161,576,1974,584,142450351,583,0,1183,253,791,285,0
6878,2854,1310,1415,1122,203,142450379,202,0,911,38,211,112,0
714,2203,144,1962,134,751,142450397,750,0,105,93,29,625,0
52,170,17,25,14,46,142450427,45,0,10,11,4,29,0
2005,2524,376,361,323,363,142450445,0,0,0,0,0,0,0
1875,2693,593,739,499,1680,142450540,1679,0,370,291,129,1275,1
1136,1271,294,270,692,661,142450541,649,12,443,157,249,412,0
90,35,22,10,1,1,142450581,0,0,0,0,0,0,0
710,2079,204,327,50,57,142450644,0,0,0,0,0,0,0
466,1992,184,876,342,1142,142450646,1138,4,248,155,94,930,1
729,2646,138,500,110,291,142450664,276,7,88,36,22,220,0
1838,11822,774,23436,43,1462,142450665,1461,0,17,793,26,664,0
135,192,5,1,1,25,142450675,0,0,0,0,0,0,0
312,310,289,420,234,333,142450698,0,234,155,84,79,190,0
200,1512,119,949,415,376,142450699,375,0,262,107,153,233,0
400,67,191,55,289,30,142450759,29,0,245,1,44,0,0
7867,25723,2339,9846,1623,5317,142450796,5316,0,1047,1748,576,3506,0
1352,2830,469,1732,405,653,142450812,0,0,0,0,0,0,1
8953,22603,4605,5782,4827,6870,142450822,6869,0,3488,1748,1339,5025,0
524,1740,253,373,178,176,142450873,0,0,0,0,0,0,0
3531,56643,1424,26605,1553,28866,142450925,28865,0,1034,10138,519,18645,0
1337,8925,272,2622,303,2460,142450981,0,0,0,0,0,0,0
4214,8035,1207,977,921,5326,142450988,5325,2,624,1254,297,3995,0
96,2113,94,1246,102,1878,142451010,0,0,0,0,0,0,0
55,16,14,13,1840,190,142451026,179,99,1190,40,650,93,0
276,1041,88,246,41,137,142451077,0,0,0,0,0,0,0
5819,64755,1135,16252,958,4134,142451234,4133,0,628,856,330,3228,0
2825,4098,192,2120,244,1429,142451348,1428,0,167,236,77,1128,0
714,3840,477,1280,154,1280,142451428,1280,0,154,0,0,1268,0
1097,6255,414,2054,225,2064,142451487,2063,0,174,477,51,1510,0
354,75,22,59,2,2,142451518,0,0,0,0,0,0,0
2121,9619,767,3585,686,1694,142451526,1693,0,534,455,152,1096,0
4860,609,1179,778,1317,2012,142451539,0,0,0,0,0,0,1
5215,12057,2047,3335,2194,4494,142451542,4493,1,1648,1579,546,2835,1
2865,5532,1845,2139,1108,2082,142451556,2081,0,739,359,369,1643,1
2965,2394,1669,8249,1208,2756,142451566,2755,0,877,796,331,1918,1
1112,10056,257,4241,197,3033,142451578,3032,0,141,491,56,2475,1
78,2872,25,854,57,1078,142451590,1077,0,51,340,6,724,0
1279,8769,477,3007,614,2336,142451613,2335,0,470,608,144,1640,0
6814,1628,2147,1219,3586,1477,142451626,1476,0,2871,317,715,1114,1
11,4,32,10,3,1,142451631,0,0,0,0,0,0,0
6597,3713,2323,1069,2371,1064,142451633,1063,0,1770,641,601,324,1
6831,18957,2909,4457,2950,5502,142451656,5501,0,2121,1591,829,3815,1
187,576,98,274,62,354,142451659,350,3,52,111,10,221,0
1379,4773,465,2948,184,1477,142451670,1476,0,155,369,29,1061,0
888,4004,253,1530,284,906,142451673,0,0,0,0,0,0,0
139,1511,49,199,23,83,142451676,0,0,0,0,0,0,0
1084,681,297,169,338,189,142451697,0,0,0,0,0,0,0
11,36,13,27,2,1,142451709,0,0,0,0,0,0,0
785,1181,240,586,131,297,142451745,0,0,0,0,0,0,0
216,3931,78,1218,88,2277,142451752,0,0,0,0,0,0,0
813,3333,206,1237,507,1543,142451761,1542,0,355,407,152,1084,0
843,1218,561,2360,542,1197,142451786,0,0,0,0,0,0,1
3755,7522,358,2142,1405,1293,142451795,0,0,0,0,0,0,0
4309,26019,2166,3297,1831,9410,142451796,0,0,0,0,0,0,1
1092,893,290,764,43,141,142451833,0,0,0,0,0,0,0
780,4444,322,3165,277,1450,142451840,0,0,0,0,0,0,0
334,1040,96,120,102,81,142451843,80,0,83,15,19,43,0
818,3665,315,1333,635,3982,142451854,3981,0,465,1606,170,2283,1
214,3,78,2,129,2,142451933,0,0,0,0,0,0,0
241,3,79,1,43,1,142451936,0,0,0,0,0,0,0
77,9,54,1,39,1,142451937,0,0,0,0,0,0,0
17,3,4,1,4,1,142451948,0,0,0,0,0,0,0
24,3,9,1,3,1,142451949,0,0,0,0,0,0,0
69,11,17,2,9,2,142451952,0,0,0,0,0,0,0
94,9,6,2,3,1,142451953,0,0,0,0,0,0,0
114,9,45,3,33,3,142451956,0,0,0,0,0,0,0
105,3,19,2,9,1,142451958,0,0,0,0,0,0,0
65,3,32,1,23,1,142451961,0,0,0,0,0,0,0
195,8,69,3,61,3,142451964,0,0,0,0,0,0,0
228,4,24,4,64,3,142451971,0,0,0,0,0,0,0
24,4,12,3,16,3,142451989,0,0,0,0,0,0,0
51,3,21,1,13,1,142451992,0,0,0,0,0,0,0
16,3,18,1,7,1,142451993,0,0,0,0,0,0,0
98,3,23,1,22,1,142451995,0,0,0,0,0,0,0
28,4,31,1,24,2,142451997,0,0,0,0,0,0,0
58,6,16,2,22,2,142451998,0,0,0,0,0,0,0
39,4,6,1,11,1,142452004,0,0,0,0,0,0,0
18,4,3,1,4,1,142452011,0,0,0,0,0,0,0
69,7,21,2,29,2,142452014,0,0,0,0,0,0,0
16,3,6,1,5,1,142452015,0,0,0,0,0,0,0
62,4,27,1,24,1,142452016,0,0,0,0,0,0,0
50,3,18,1,9,1,142452023,0,0,0,0,0,0,0
247,4151,51,1213,63,4064,142452054,0,0,0,0,0,0,0
87,7,32,1,11,1,142452055,0,0,0,0,0,0,0
63,3,29,2,13,1,142452056,0,0,0,0,0,0,0
13,3,2,1,4,1,142452058,0,0,0,0,0,0,0
36,4,47,1,65,2,142452059,0,0,0,0,0,0,0
116,5,31,2,27,2,142452068,0,0,0,0,0,0,0
157,6,67,2,57,2,142452069,0,0,0,0,0,0,0
228,10,72,4,66,3,142452073,0,0,0,0,0,0,0
56,8,20,2,20,2,142452074,0,0,0,0,0,0,0
1033,10247,306,4198,226,4437,142452080,0,0,0,0,0,0,0
561,767,183,344,226,347,142452081,0,0,0,0,0,0,0
212,2578,78,1617,109,1131,142452103,1130,0,55,886,54,217,0
324,395,207,482,121,436,142452111,435,0,99,83,22,312,0
250,4,95,2,152,2,142452132,0,0,0,0,0,0,0
73,3,32,1,50,1,142452136,0,0,0,0,0,0,0
29,3,496,6,669,8,142452137,0,0,0,0,0,0,0
469,7,104,2,106,2,142452139,0,0,0,0,0,0,0
544,7,162,2,167,2,142452143,0,0,0,0,0,0,0
424,7,120,2,134,2,142452144,0,0,0,0,0,0,0
191,5,54,1,27,1,142452145,0,0,0,0,0,0,0
244,5,82,2,104,2,142452146,0,0,0,0,0,0,0
12021,1175,4324,423,4436,434,142452161,0,0,0,0,0,0,0
326,7,104,2,137,2,142452164,0,0,0,0,0,0,0
298,6,80,2,229,4,142452165,0,0,0,0,0,0,0
1168,4265,214,645,193,1387,142452172,1386,0,79,1190,114,181,0
642,11083,2,324,17,522,142452180,521,0,17,0,0,521,0
11286,1103,4047,396,4272,418,142452190,0,0,0,0,0,0,0
33,3,1,1,40,1,142452191,0,0,0,0,0,0,0
234,3,109,2,89,2,142452194,0,0,0,0,0,0,0
345,5,132,2,90,1,142452201,0,0,0,0,0,0,0
362,6,144,2,71,2,142452205,0,0,0,0,0,0,0
92,4,27,1,23,1,142452212,0,0,0,0,0,0,0
36,3,15,1,21,1,142452214,0,0,0,0,0,0,0
16,3,1,1,1,1,142452216,0,0,0,0,0,0,0
5816,565,2042,199,2395,233,142452221,0,0,0,0,0,0,0
31,5,9,1,5,1,142452224,0,0,0,0,0,0,0
18,3,17,1,5,1,142452227,0,0,0,0,0,0,0
111,4,21,1,21,1,142452232,0,0,0,0,0,0,0
35,3,5,1,7,1,142452233,0,0,0,0,0,0,0
128,3,35,1,31,1,142452235,0,0,0,0,0,0,0
72,3,30,1,23,1,142452238,0,0,0,0,0,0,0
75,3,27,1,11,1,142452239,0,0,0,0,0,0,0
22,3,7,1,7,1,142452243,0,0,0,0,0,0,0
79,4,26,1,24,1,142452246,0,0,0,0,0,0,0
59,4,27,1,11,1,142452248,0,0,0,0,0,0,0
99,3,12,1,8,1,142452249,0,0,0,0,0,0,0
63,3,17,1,19,1,142452260,0,0,0,0,0,0,0
34,3,5,1,4,1,142452266,0,0,0,0,0,0,0
243,6,93,2,71,2,142452267,0,0,0,0,0,0,0
191,3,44,1,41,1,142452268,0,0,0,0,0,0,0
193,4,52,1,44,1,142452271,0,0,0,0,0,0,0
178,3,59,1,50,1,142452272,0,0,0,0,0,0,0
537,9,149,2,189,3,142452275,0,0,0,0,0,0,0
89,7,28,2,24,1,142452277,0,0,0,0,0,0,0
47,3,20,1,9,1,142452279,0,0,0,0,0,0,0
31,3,8,1,1,1,142452280,0,0,0,0,0,0,0
39,3,17,1,12,1,142452282,0,0,0,0,0,0,0
47,4,9,1,10,1,142452284,0,0,0,0,0,0,0
109,3,35,1,28,1,142452285,0,0,0,0,0,0,0
14,3,5,1,3,1,142452286,0,0,0,0,0,0,0
39,3,21,1,13,1,142452287,0,0,0,0,0,0,0
228,3,74,1,67,1,142452295,0,0,0,0,0,0,0
85,14,23,6,14,5,142452296,0,0,0,0,0,0,0
270,6,46,1,52,1,142452297,0,0,0,0,0,0,0
363,6,74,1,83,1,142452299,0,0,0,0,0,0,0
132,3,28,1,16,1,142452301,0,0,0,0,0,0,0
355,6,119,2,112,2,142452303,0,0,0,0,0,0,0
205,5,92,2,30,1,142452306,0,0,0,0,0,0,0
40,3,5,1,12,1,142452314,0,0,0,0,0,0,0
993,22,229,5,190,5,142452318,0,0,0,0,0,0,0
172,3,25,1,15,1,142452320,0,0,0,0,0,0,0
304,6,111,2,136,2,142452321,0,0,0,0,0,0,0
69,3,37,1,18,1,142452322,0,0,0,0,0,0,0
338,12,106,3,92,3,142452330,0,0,0,0,0,0,0
59,5,26,1,31,2,142452332,0,0,0,0,0,0,0
94,13,29,2,55,6,142452333,0,0,0,0,0,0,0
145,8,57,3,46,2,142452334,0,0,0,0,0,0,0
82,11,109,2,27,1,142452335,0,0,0,0,0,0,0
162,3,70,1,78,1,142452344,0,0,0,0,0,0,0
69,3,18,1,9,1,142452346,0,0,0,0,0,0,0
147,10,38,2,57,3,142452347,0,0,0,0,0,0,0
55,3,19,1,16,1,142452348,0,0,0,0,0,0,0
149,14,31,2,18,2,142452350,0,0,0,0,0,0,0
71,5,1,1,2,1,142452351,0,0,0,0,0,0,0
435,8,158,3,101,2,142452358,0,0,0,0,0,0,0
178,4,65,1,54,1,142452364,0,0,0,0,0,0,0
197,4,66,2,12,1,142452366,0,0,0,0,0,0,0
135,11,56,2,27,3,142452369,0,0,0,0,0,0,0
253,4,35,1,120,2,142452374,0,0,0,0,0,0,0
237,5,62,1,64,1,142452382,0,0,0,0,0,0,0
158,3,57,1,77,2,142452384,0,0,0,0,0,0,0
338,6,121,2,120,2,142452385,0,0,0,0,0,0,0
132,3,34,1,32,1,142452389,0,0,0,0,0,0,0
398,6,114,2,59,1,142452390,0,0,0,0,0,0,0
974,15,263,4,210,4,142452394,0,0,0,0,0,0,0
382,6,59,1,80,1,142452395,0,0,0,0,0,0,0
182,4,135,2,51,1,142452396,0,0,0,0,0,0,0
304,6,87,2,95,2,142452397,0,0,0,0,0,0,0
259,6,75,1,103,2,142452400,0,0,0,0,0,0,0
304,6,113,2,35,1,142452403,0,0,0,0,0,0,0
374,6,80,1,90,2,142452404,0,0,0,0,0,0,0
230,3,56,1,36,1,142452406,0,0,0,0,0,0,0
